Type	Library Name						Short Description				Long Description
trna	GCF\_000001735.4\_tRNA					nuclear tRNA transcript (no introns)		Nuclear mature transfer RNAs extracted from GCF\_000001735.4.gff parsing tRNA feature and RefSeq source.
trna	GCF\_000001735.4\_tRNA\_primary\_flank20		genomic tRNA + flanking				Primary, genomic nuclear transfer RNAs extracted from GCF\_000001735.4.gff parsing tRNA feature and RefSeq source. Introns are not removed, and 20 nt long flanking sequences are added.
trna	GCF\_000001735.4\_tRNA\_mito				mitochondrial tRNA transcript (no introns)	Mitochondrial mature transfer RNAs extracted from GCF\_000001735.4.gff parsing tRNA feature and RefSeq source.
trna	GCF\_000001735.4\_tRNA\_primary\_flank20\_mito		mitochondrial, genomic tRNA + flanking		Primary, genomic mitochondrial transfer RNAs extracted from GCF\_000001735.4.gff parsing tRNA feature and RefSeq source. Introns are not removed, and 20 nt long flanking sequences are added.
trna	GCF\_000001735.4\_tRNA\_cloro				chloroplast tRNA transcripts			Chloroplast mature transfer RNAs extracted from GCF\_000001735.4.gff parsing tRNA feature and RefSeq source.
trna	GCF\_000001735.4\_tRNA\_primary\_flank20\_cloro		chloroplast, genomic tRNA + flanking		Primary, genomic chloroplast transfer RNAs extracted from GCF\_000001735.4.gff parsing tRNA feature and RefSeq source. Introns are not removed, and 20 nt long flanking sequences are added.
libs	Small non-coding (RefSeq)				NA						Small RNAs extracted from GCF\_000001735.4.gff parsing the gene feature from RefSeq.
libs	Long non-coding (RefSeq))				NA						Long non-coding RNAs extracted from GCF\_000001735.4.gff parsing lnc\_RNA feature and RefSeq source.
libs	Antisense transcripts (RefSeq))				NA						Antisense RNAs extracted from GCF\_000001735.4.gff parsing antisense\_RNA feature and RefSeq source.
libs	Pseudogenes (RefSeq))					NA						Pseudogenes extracted from GCF\_000001735.4.gff parsing pseudogene feature and RefSeq source.
libs	Coding transcripts (RefSeq))				NA						mRNAs extracted from GCF\_000001735.4.gff parsing mRNA feature and RefSeq source.
libs	TSS and TES regions  (RefSeq))				NA						TSS and TES extracted  from GCF\_000001735.4.gff parsing mRNA feature and RefSeq source.
libs	Introns from (RefSeq))					NA						Introns extracted from GCF\_000001735.4.gff parsing mRNA feature and RefSeq source.

